titel;bedrag
[text];[MEUR/Yr]
Netwerk_kapitaallasten;-722.09432
Netwerk_netverzwaring;-88.705098
Onderhoud_;-3352.58077
Elektriciteit_NetkostenWoning;0
Elektriciteit_NetkostenUitlegWoning;150.680394
Elektriciteit_NetkostenUtiliteit;708.865555
Elektriciteit_NetkostenUitlegUtil;71.4550477
Elektriciteit_NetkostenGlastuinbouw;133.121645
Elektriciteit_NetkostenUitlegGlTb;0
Woning_Gebruiker_Vastrecht;1776.80184
UitlegWoning_Gebruiker_Vastrecht;468.496818
Utiliteit_Gebruiker_Vastrecht;778.772496
UitlegUtil_Gebruiker_Vastrecht;83.7353448
Glastuinbouw_Gebruiker_Vastrecht;0
UitlegGlTb_Gebruiker_Vastrecht;0
KL_e_AansluitbijdrageWoning;0
KL_e_AansluitbijdrageUitlegWoning;50.4324355
KL_e_AansluitbijdrageUtiliteit;0
KL_e_AansluitbijdrageUitlegUtil;9.68383807
KL_e_AansluitbijdrageGlastuinbouw;0
KL_e_AansluitbijdrageUitlegGlTb;0
