titel;bedrag
[text];[MEUR/Yr]
EmissieRechten_CO2Woning;-21.8616786
EmissieRechten_CO2UitlegWoning;-3.50707191
EmissieRechten_CO2Utiliteit;-33.9708952
EmissieRechten_CO2UitlegUtil;-1.08465967
EmissieRechten_CO2Glastuinbouw;-6.92579783
EmissieRechten_CO2UitlegGlTb;0
ElektriciteitsNet_NetkostenWoning;0
ElektriciteitsNet_NetkostenUitlegWoning;-73.9519618
ElektriciteitsNet_NetkostenUtiliteit;-707.934472
ElektriciteitsNet_NetkostenUitlegUtil;-20.0153403
ElektriciteitsNet_NetkostenGlastuinbouw;-133.121645
ElektriciteitsNet_NetkostenUitlegGlTb;0
EmissieRechten_CO2WKO;-2.12565823
Woning_Gebruiker_maatschappelijk;1399.14743
UitlegWoning_Gebruiker_maatschappelijk;298.404564
Utiliteit_Gebruiker_maatschappelijk;2882.07176
UitlegUtil_Gebruiker_maatschappelijk;89.433559
Glastuinbouw_Gebruiker_maatschappelijk;576.372706
UitlegGlTb_Gebruiker_maatschappelijk;0
WKO_Commodity;188.411602
