UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;3988988;0;0;0;0;0;0
winkel;950871;0;0;0;0;0;0
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;407646;0;0;0;0;0;0
ziekenhuis;0;0;0;0;0;0;0
onderwijs;2850169;0;0;0;0;0;0
horeca;488593;0;0;0;0;0;0
overig;1165332;0;0;0;0;0;0
