WoningType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;53809.4532;0;0;0;0;0;0
vrijstaand/bungalows;311659.724;0;0;0;0;0;0
twee onder een kap;313355.819;0;0;0;0;0;0
rijtjeshuizen/eengezins;1070323.49;0;0;0;0;0;0
flats 4 of minder verdiepingen;291867.99;0;0;0;0;0;0
flats meer dan 4 verdiepingen;152459.521;0;0;0;0;0;0
etagewoning/maisonnette;162000.115;0;0;0;0;0;0
etage/flats grachtenpand;16891.3434;0;0;0;0;0;0
herenhuis grachtenpand;39696.0788;0;0;0;0;0;0
zelfstandige bejaardenwoning;74521.0235;0;0;0;0;0;0
boerderij/tuinderij;32098.5567;0;0;0;0;0;0
studentenwoning/flat;15614.4597;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;80670.4779;0;0;0;0;0;0
