UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;19188248;0;0;0;0;0;0
winkel;3745936;0;0;0;0;0;0
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;1483357;0;0;0;0;0;0
ziekenhuis;0;0;0;0;0;0;0
onderwijs;15839693;0;0;0;0;0;0
horeca;1691107;0;0;0;0;0;0
overig;4628569;0;0;0;0;0;0
