UtiliteitsType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2];[m^2]
kantoor;13481491;0;0;0;0;0;0
winkel;2734017;0;0;0;0;0;0
groothandel;0;0;0;0;0;0;0
autohandel_reperatie;0;0;0;0;0;0;0
verzorging_verpleging;1259008;0;0;0;0;0;0
ziekenhuis;0;0;0;0;0;0;0
onderwijs;12181372;0;0;0;0;0;0
horeca;1530363;0;0;0;0;0;0
overig;3703476;0;0;0;0;0;0
