woningtype_bouwjaarklasse;Aantal;Schil;RuimteVerwarming;EL/eWP;EL/EWV;EL/Aplus;EL/LabelB;EL/LabelC;EL/LabelD;EL/LabelE;EL/LabelF;EL/LabelG
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
geen woonpand_voor 1946 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1946 en 1965 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1965 en 1974 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1975 en 1991 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 1992 en 2005 ;0;0;0;0;0;0;0;0;0;0;0;0
geen woonpand_tussen 2006 en 2014 ;0;0;0;0;0;0;0;0;0;0;0;0
vrijstaand_voor 1946 ;280969;182778;280969;0;0;0;248926;0;0;32043;0;0
vrijstaand_tussen 1946 en 1965 ;139439;4156;139439;0;0;0;35953;0;0;103486;0;0
vrijstaand_tussen 1965 en 1974 ;111875;774;111875;0;0;0;1930;0;109945;0;0;0
vrijstaand_tussen 1975 en 1991 ;182135;0;182135;0;0;0;3431;0;178704;0;0;0
vrijstaand_tussen 1992 en 2005 ;187691;0;187691;0;0;0;187691;0;0;0;0;0
vrijstaand_tussen 2006 en 2014 ;81506;0;81506;0;0;0;81506;0;0;0;0;0
2 onder 1 kap_voor 1946 ;174594;21098;174594;0;0;0;3077;0;171517;0;0;0
2 onder 1 kap_tussen 1946 en 1965 ;130138;0;130138;0;0;0;7891;0;122247;0;0;0
2 onder 1 kap_tussen 1965 en 1974 ;85001;4131;85001;0;0;0;1327;11013;0;72661;0;0
2 onder 1 kap_tussen 1975 en 1991 ;121108;0;121108;0;0;0;1297;119811;0;0;0;0
2 onder 1 kap_tussen 1992 en 2005 ;99150;0;99150;0;0;0;99150;0;0;0;0;0
2 onder 1 kap_tussen 2006 en 2014 ;52272;0;52272;0;0;0;52272;0;0;0;0;0
rijwoning hoek_voor 1946 ;123780;0;123780;0;0;0;4594;0;0;7543;0;111643
rijwoning hoek_tussen 1946 en 1965 ;127325;66010;127325;0;0;0;126412;0;913;0;0;0
rijwoning hoek_tussen 1965 en 1974 ;163622;0;163622;0;0;0;6651;34892;0;122079;0;0
rijwoning hoek_tussen 1975 en 1991 ;313768;0;313768;0;0;0;10819;302949;0;0;0;0
rijwoning hoek_tussen 1992 en 2005 ;127574;0;127574;0;0;0;127574;0;0;0;0;0
rijwoning hoek_tussen 2006 en 2014 ;68164;0;68164;0;0;0;68164;0;0;0;0;0
rijwoning tussen_voor 1946 ;321935;0;321935;0;0;0;12899;0;0;26034;0;283002
rijwoning tussen_tussen 1946 en 1965 ;234668;128931;234668;0;0;0;232742;0;1926;0;0;0
rijwoning tussen_tussen 1965 en 1974 ;336560;0;336560;0;0;0;12297;79713;0;244550;0;0
rijwoning tussen_tussen 1975 en 1991 ;711041;0;711041;0;0;0;22798;688243;0;0;0;0
rijwoning tussen_tussen 1992 en 2005 ;356336;0;356336;0;0;0;356336;0;0;0;0;0
rijwoning tussen_tussen 2006 en 2014 ;178669;0;178669;0;0;0;178669;0;0;0;0;0
meergezins: laag en midden_voor 1946 ;372707;55223;372707;0;0;0;74100;0;0;298607;0;0
meergezins: laag en midden_tussen 1946 en 1965 ;203435;0;203435;0;0;0;6677;39841;0;156917;0;0
meergezins: laag en midden_tussen 1965 en 1974 ;144349;0;144349;0;0;0;23988;0;120361;0;0;0
meergezins: laag en midden_tussen 1975 en 1991 ;415673;0;415673;0;0;0;46650;369023;0;0;0;0
meergezins: laag en midden_tussen 1992 en 2005 ;250758;0;250758;0;0;0;250758;0;0;0;0;0
meergezins: laag en midden_tussen 2006 en 2014 ;381092;0;381092;0;0;0;381092;0;0;0;0;0
meergezins: hoog_voor 1946 ;184477;0;184477;0;0;0;17712;0;166765;0;0;0
meergezins: hoog_tussen 1946 en 1965 ;139372;0;139372;0;0;0;15531;0;123841;0;0;0
meergezins: hoog_tussen 1965 en 1974 ;234144;0;234144;0;0;0;10006;72690;0;151448;0;0
meergezins: hoog_tussen 1975 en 1991 ;150394;0;150394;0;0;0;10528;139866;0;0;0;0
meergezins: hoog_tussen 1992 en 2005 ;142439;0;142439;0;0;0;142439;0;0;0;0;0
meergezins: hoog_tussen 2006 en 2014 ;75181;0;75181;0;0;0;75181;0;0;0;0;0
