titel;bedrag
[text];[MEUR/Yr]
KL_e_AardGas;-29.2506132
KL_e_Elektriciteit;-33.6523966
KL_e_ZonneBoiler;0
KL_e_Zon_PV;0
KL_e_mWKK;0
KL_e_eWP;0
KL_e_EWV;0
KL_e_hWP;0
Onderhoud_LokaleOpwekking;0
KL_e_Gebouwverbetering;0
KL_e_Aansluitbijdrage_GeoThermie;-0.647835465
KL_e_Aansluitbijdrage_RestWarmte;-1.4368831
KL_e_Aansluitbijdrage_BioWKK;-0.270814016
KL_e_Aansluitbijdrage_WijkWKK;0
KL_e_Aansluitbijdrage_WKO;-1.43434161
UitlegUtil_Gebruiker_VergoedingLabelSprong;0
UitlegUtil_Gebruiker_VergoedingZonPV;0
UitlegUtil_Gebruiker_VergoedingZonneBoiler;0
Subsidie_LokaleOpwekking;0
KL_e_EIA30;0
KL_e_EIA15;0
